Id,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp
186,1,1,36,0,0
187,1,0,31,1,1
188,0,0,29,0,0
189,1,1,35,1,0
190,1,1,38,1,0
191,1,0,26,0,1
192,1,1,37,1,0
193,1,0,31,0,1
194,0,1,29,0,0
195,1,1,36,1,1
196,1,1,38,1,0
197,1,0,35,0,0
198,1,1,38,1,0
199,1,1,38,0,1
200,1,0,34,0,0
201,1,1,37,1,1
202,0,0,29,1,0
203,0,0,24,1,1
204,0,0,26,0,0
205,1,1,38,1,0
206,1,0,30,1,0
207,1,1,36,1,0
208,1,1,37,1,0
209,1,1,35,1,0
210,1,1,37,1,0
211,1,1,37,1,0
212,1,1,39,1,0
213,1,1,36,1,1
214,1,1,37,0,0
215,1,1,36,0,0
216,1,0,35,1,2
217,1,1,33,1,0
218,1,1,34,1,0
219,1,1,37,1,0
220,1,1,30,0,0
221,0,0,31,0,1
222,1,0,30,0,1
223,1,1,34,1,0
224,1,1,38,0,0
225,1,0,25,0,0
226,1,1,37,1,0
227,0,0,24,1,0
228,1,1,34,0,0
229,1,1,37,1,0
230,1,1,34,1,0
231,1,0,33,1,0
232,1,0,40,0,0
233,1,1,34,0,0
234,1,1,38,1,0
235,1,1,39,1,0
236,1,1,34,1,0
237,1,1,38,1,0
238,1,1,39,1,1
239,1,1,37,0,0
240,1,1,38,1,0
241,1,0,31,1,1
242,1,0,31,0,1
243,0,0,29,1,0
244,1,1,38,1,1
245,1,0,39,1,0
246,1,1,37,1,0
247,0,0,24,0,0
248,1,1,39,1,0
249,1,0,32,1,0
250,1,0,39,0,0
251,1,1,35,1,0
252,1,0,40,1,0
253,0,0,27,0,1
254,1,1,35,1,0
255,1,1,37,0,0
256,1,1,38,1,0
257,1,1,38,1,0
258,1,0,40,1,0
259,0,0,26,0,0
260,1,0,40,0,0
261,1,0,33,1,0
262,1,0,43,1,0
263,1,1,37,1,0
264,1,1,39,1,0
265,0,0,30,0,0
266,1,1,35,1,1
267,1,1,38,1,0
268,1,1,37,1,0
269,1,1,26,0,0
270,1,1,36,1,0
271,0,0,22,0,0
272,1,1,37,1,0
273,0,1,29,0,0
274,1,1,37,0,0
275,1,1,38,1,0
276,0,0,29,0,1
277,0,0,28,1,0
278,1,0,32,1,0
279,1,0,27,0,0
280,1,1,37,1,0
281,1,0,40,1,0
282,1,1,35,1,0
283,1,0,33,1,0
284,1,1,37,0,1
285,1,0,33,1,0
286,1,1,37,0,0
287,1,1,30,1,0
288,1,0,42,1,0
289,1,1,37,1,0
290,1,1,38,0,0
291,0,0,27,0,0
292,1,0,32,1,0
293,1,1,35,1,0
294,1,1,38,1,0
295,1,0,29,1,0
296,1,1,36,1,0
297,1,1,32,1,0
298,0,0,25,0,0
299,1,0,26,0,0
300,1,1,36,1,0
301,1,0,32,0,0
302,0,1,28,1,0
303,0,0,29,0,0
304,1,1,38,1,0
305,1,1,36,0,0
306,1,1,37,1,0
307,1,1,37,0,0
308,0,0,22,1,1
309,1,1,35,0,1
310,0,0,26,0,0
311,1,1,34,1,0
312,1,1,29,1,0
313,1,1,38,1,0
314,1,1,37,1,0
315,1,1,37,1,0
316,1,0,21,0,1
317,1,1,33,1,1
318,1,0,43,1,1
319,1,1,36,1,0
320,1,1,33,1,0
321,1,1,36,0,0
322,1,0,30,1,0
323,1,1,36,1,0
324,1,1,33,1,0
325,1,1,39,1,0
326,1,1,35,1,0
327,0,1,31,1,0
328,1,1,39,0,0
329,0,1,26,0,0
330,1,1,38,1,0
331,1,1,32,0,1
332,1,1,37,0,1
333,0,0,26,0,0
334,1,1,40,1,1
335,1,1,39,1,0
336,0,0,27,0,1
337,1,0,35,1,0
338,1,0,32,0,0
339,1,0,43,0,0
340,0,1,29,0,1
341,1,1,35,1,1
342,1,1,37,1,0
343,1,1,38,0,0
344,1,1,34,0,0
345,1,1,34,0,0
346,1,0,42,0,0
347,1,1,36,1,0
348,0,0,31,1,0
349,1,0,28,0,1
350,0,0,13,0,1
351,1,0,25,1,0
352,1,0,29,0,0
353,1,1,38,1,0
354,0,0,27,1,0
355,1,1,38,0,0
356,1,1,36,1,0
357,1,0,41,1,0
358,1,0,34,0,0
359,1,0,41,0,0
360,1,1,34,1,0
361,0,0,26,0,0
362,1,1,31,1,0
363,1,1,38,1,0
364,1,1,38,1,1
365,1,1,39,1,0
366,1,1,35,1,0
367,0,0,31,0,0
368,1,1,38,1,0
369,1,1,38,1,0
370,1,1,34,0,0
371,1,1,38,1,0
372,1,1,38,1,0
373,0,0,29,1,0
374,1,1,33,1,0
375,1,0,29,1,0
376,0,0,28,0,1
377,1,1,37,0,0
378,1,1,36,0,0
379,1,1,36,1,0
380,1,1,39,0,1
381,1,1,38,1,0
382,1,1,38,1,0
383,1,1,38,1,0
384,1,1,34,1,0
385,0,0,30,1,0
386,1,1,37,1,1
387,0,0,18,1,1
388,1,1,37,1,0
389,1,1,39,0,0
390,0,1,28,0,0
391,0,0,16,1,0
392,0,0,25,0,0
393,1,1,35,0,0
394,1,0,32,1,0
395,1,1,37,1,0
396,1,0,35,0,1
397,1,1,38,1,0
398,1,1,38,1,0
399,0,0,14,0,1
400,1,1,39,1,1
401,0,0,15,0,1
402,1,1,38,1,0
403,1,1,36,0,0
404,1,1,37,1,0
405,1,1,38,1,0
406,1,1,36,0,0
407,1,1,34,0,1
408,1,0,25,0,1
409,1,0,23,1,0
410,1,0,31,1,0
411,1,1,33,0,0
412,1,1,36,0,0
413,1,1,37,1,0
414,1,1,38,1,0
415,1,0,33,1,0
416,1,0,27,0,0
417,1,0,24,0,0
418,0,0,20,1,0
419,1,1,36,1,0
420,0,0,16,0,1
421,1,1,36,1,1
422,1,0,26,0,1
423,1,1,36,1,0
424,1,1,34,1,1
425,1,0,41,1,0
426,1,1,34,0,1
427,0,0,30,0,1
428,1,1,34,0,1
429,1,1,35,1,0
430,0,0,26,0,1
431,1,1,36,1,0
432,1,1,36,1,0
433,1,0,27,1,0
434,0,0,22,1,1
435,0,0,21,0,1
436,1,0,43,1,0
437,0,0,18,0,0
438,1,1,37,1,0
439,1,1,38,0,1
440,0,0,22,1,1
441,1,1,34,0,0
442,1,1,38,1,0
443,1,1,26,1,0
444,1,1,36,1,0
445,1,0,32,0,0
446,1,1,35,0,1
447,1,1,38,0,0
448,1,1,34,0,0
449,0,0,23,0,1
450,1,0,25,1,1
451,1,1,38,1,0
452,1,1,34,1,0
453,1,1,38,1,1
454,1,1,38,1,1
455,0,0,15,1,0
456,1,1,35,1,0
457,1,1,34,1,0
458,1,1,34,1,0
459,1,1,37,1,1
460,1,1,37,1,0
461,1,1,36,1,0
462,1,1,38,1,0
463,1,0,37,1,0
464,1,1,37,0,1
465,1,1,37,0,0
466,1,1,36,1,0
467,1,1,38,0,0
468,1,0,26,0,0
469,1,1,37,1,0
470,1,1,35,0,0
471,0,0,20,0,0
472,0,0,25,1,0
473,1,1,37,0,0
474,0,0,17,1,0
475,0,0,15,0,0
476,1,1,35,1,0
477,1,1,37,0,0
478,1,1,34,0,0
479,1,1,38,1,0
480,1,1,37,1,1
481,1,1,37,0,0
482,0,0,24,1,0
483,1,1,37,0,0
484,1,1,38,1,0
485,1,0,34,1,0
486,0,0,27,0,0
487,1,1,35,0,0
488,1,1,36,1,0
489,1,0,40,1,0
490,0,0,14,1,0
491,1,1,34,0,0
492,1,1,38,1,0
493,1,0,40,0,1
494,1,0,33,0,0
495,1,1,38,1,0
496,1,1,36,0,0
497,1,1,38,1,0
498,1,0,32,1,0
499,1,0,23,1,1
500,1,1,38,1,0
501,1,1,38,1,0
502,1,0,32,1,0
503,1,1,37,1,0
504,1,1,35,0,0
505,1,1,38,1,0
506,1,0,39,1,0
507,1,1,38,0,0
508,1,1,36,1,0
509,1,1,36,1,0
510,1,0,30,1,0
511,1,1,39,1,0
512,0,0,25,0,0
513,1,0,31,0,0
514,1,1,37,1,0
515,1,1,38,1,0
516,1,0,33,1,0
517,1,1,35,0,0
518,1,1,37,1,0
519,1,0,34,0,0
520,1,1,27,0,1
521,1,0,29,1,1
522,1,0,34,0,1
523,1,0,40,1,0
524,1,0,24,0,1
525,0,0,22,1,0
526,1,1,33,0,0
527,0,0,27,0,0
528,1,1,38,1,0
529,1,0,32,0,1
530,1,1,39,1,1
531,1,1,35,1,0
532,1,0,33,1,0
533,0,0,28,0,0
534,1,1,36,0,0
535,0,0,19,1,1
536,1,0,31,0,0
537,0,0,28,0,0
538,1,1,36,1,0
539,0,0,30,1,0
540,1,0,32,0,1
541,1,0,27,0,0
542,1,0,26,0,1
543,1,0,21,0,0
544,1,1,38,1,0
545,1,1,33,1,0
546,1,1,39,0,0
547,1,0,34,0,0
548,1,0,33,1,0
549,1,1,24,0,0
550,1,1,37,1,0
551,1,1,34,1,0
552,1,1,37,1,0
553,0,0,22,1,1
554,1,0,40,1,0
555,1,1,36,1,0
556,1,0,31,0,0
557,1,0,34,1,0
558,0,0,25,0,0
559,1,0,40,1,0
560,1,1,37,1,0
561,0,0,24,0,0
562,1,1,37,1,0
563,1,1,36,1,0
564,1,1,34,1,0
565,1,1,38,0,0
566,1,1,35,0,0
567,0,0,28,1,0
568,1,0,27,1,0
569,0,0,27,0,1
570,1,0,42,0,0
571,1,1,36,0,0
572,1,1,31,0,0
573,1,0,44,0,0
574,1,1,37,1,0
575,1,1,36,1,0
576,1,1,35,1,0
577,1,1,37,1,0
578,1,0,29,0,0
579,1,1,31,0,1
580,1,1,36,1,0
581,1,0,20,1,0
582,1,1,38,1,0
583,1,1,30,1,0
584,1,1,37,0,0
585,1,1,39,0,0
586,1,1,24,1,1
587,0,0,28,1,1
588,1,0,20,0,0
589,1,1,38,0,0
590,1,1,33,1,0
591,0,1,28,1,0
592,1,1,36,0,1
593,1,1,34,1,1
594,1,1,37,0,0
595,0,0,27,0,1
596,1,0,23,0,0
597,1,1,38,1,0
598,0,0,17,1,0
599,1,0,32,1,1
600,1,1,34,1,0
601,0,1,27,0,0
602,0,0,28,0,0
603,1,1,35,0,0
604,1,1,36,0,1
605,1,0,30,1,0
606,1,1,35,1,1
607,1,1,32,1,0
608,1,1,36,1,0
609,1,0,20,1,2
610,0,0,25,1,1
611,1,0,43,0,0
612,1,1,37,1,0
613,0,0,26,0,1
614,1,1,38,1,0
615,1,1,37,1,0
616,1,1,30,1,0
617,1,1,34,1,0
618,1,1,38,0,0
619,1,1,37,1,0
620,1,1,39,1,1
621,0,1,26,0,0
622,1,1,38,1,0
623,1,1,37,1,0
624,1,0,28,0,0
625,0,0,19,0,0
626,0,0,25,0,1
627,1,1,38,1,0
628,1,1,35,1,1
629,1,1,38,1,0
631,1,1,39,1,1
632,0,0,24,0,0
633,0,0,23,0,1
634,1,1,33,1,0
635,1,0,39,0,0
636,1,0,26,0,0
637,1,0,32,0,1
638,1,1,37,1,0
639,1,1,36,1,0
640,1,1,37,1,0
641,0,0,28,0,0
642,1,1,37,0,0
643,1,1,35,1,0
644,1,0,27,0,1
645,1,1,37,0,0
646,1,0,42,0,0
647,1,1,34,0,1
648,1,0,30,1,0
649,1,1,39,1,0
650,0,1,28,0,0
651,0,1,24,0,1
652,1,1,37,1,0
653,1,1,35,0,0
654,1,1,26,1,1
655,1,1,38,1,0
656,1,1,37,1,0
657,0,0,17,1,0
658,1,0,35,1,0
659,1,1,36,1,0
660,1,0,32,1,1
661,0,0,15,0,0
662,1,1,37,1,0
663,1,1,37,1,0
664,1,1,38,1,0
665,1,1,35,1,1
666,0,0,18,1,0
667,1,1,36,1,0
668,1,0,32,1,0
669,1,1,37,1,0
670,1,1,38,1,0
671,0,0,26,0,0
672,1,0,40,1,1
673,1,0,41,0,0
674,1,1,37,1,0
675,1,1,35,1,0
676,1,1,35,1,0
677,1,1,34,1,0
678,1,1,39,1,0
679,1,1,38,1,1
680,1,1,38,1,0
681,1,1,38,1,0
682,0,1,24,1,0
683,1,1,38,1,0
684,1,1,33,1,0
685,1,1,38,1,0
686,1,0,24,0,0
687,1,0,40,1,0
688,1,1,35,1,0
689,1,1,38,1,0
690,1,1,34,1,1
691,1,1,39,1,0
692,1,1,38,0,0
693,1,0,28,0,0
694,1,1,36,0,1
695,1,1,38,1,1
696,1,1,37,1,0
697,1,1,36,1,0
698,1,0,28,0,0
699,1,0,27,1,0
700,0,0,29,0,0
701,1,0,31,1,0
702,1,1,37,1,0
703,1,1,37,1,0
704,1,1,38,1,0
705,1,1,38,0,0
706,0,0,30,1,0
707,1,1,36,1,0
708,1,1,38,1,0
709,1,0,39,1,0
710,1,0,27,0,0
711,1,1,38,1,0
712,0,0,30,0,0
713,1,1,38,1,0
714,1,1,35,0,0
715,0,1,30,1,1
716,1,1,34,0,0
717,1,1,34,0,0
718,1,1,36,0,0
719,0,0,26,0,0
720,1,0,27,1,0
721,1,1,37,1,0
722,1,1,36,1,1
723,1,1,39,0,0
724,1,1,37,0,0
725,1,1,37,1,0
726,0,0,23,1,0
727,1,0,29,1,0
728,0,0,24,1,0
729,0,0,22,0,0
730,0,0,23,0,0
731,1,1,36,1,0
732,1,1,34,1,0
733,1,0,43,1,1
734,1,0,41,1,0
735,1,1,34,1,0
736,1,1,37,1,0
737,1,1,37,1,0
738,0,0,20,0,1
739,1,0,28,0,0
740,1,1,38,1,0
741,1,0,39,1,0
742,1,1,36,1,0
743,1,1,36,1,0
744,1,0,32,1,0
745,0,0,22,0,1
746,0,0,26,1,0
747,1,1,36,0,1
748,1,0,42,0,0
749,0,0,21,0,1
750,1,0,18,1,1
751,1,1,35,0,0
752,0,0,29,0,2
753,1,1,35,1,0
754,1,0,34,0,0
755,1,1,35,1,0
756,1,0,39,1,0
757,1,0,25,1,0
758,1,0,32,1,0
759,1,1,37,0,1
760,1,1,33,0,0
761,1,0,32,1,0
762,1,0,32,1,0
763,1,0,39,1,0
764,1,1,35,0,0
765,1,1,35,1,0
766,1,1,38,0,0
767,1,1,37,1,1
768,1,1,33,0,2
769,1,0,32,1,0
770,1,1,34,1,0
771,1,1,35,0,0
772,1,0,30,0,1
773,1,1,35,0,0
774,1,1,36,1,0
775,1,0,32,1,0
776,1,1,35,0,0
777,1,0,43,1,1
778,0,1,27,0,1
779,1,1,38,1,0
780,1,0,29,0,1
781,1,0,32,1,1
782,0,0,31,1,1
783,1,1,38,1,1
784,1,1,38,1,0
785,1,1,34,1,0
786,1,1,36,1,1
787,0,0,23,1,1
788,1,0,33,1,0
789,1,1,36,1,0
790,0,0,29,0,0
791,0,0,27,0,0
792,1,1,37,1,0
793,0,0,13,1,0
794,1,0,39,1,0
795,1,1,38,1,0
796,1,1,37,0,0
797,1,0,40,1,0
798,1,1,38,1,0
799,1,1,36,1,0
800,1,0,25,0,0
801,1,1,37,1,0
802,1,1,37,0,0
803,0,0,23,1,1
804,1,1,38,1,0
805,1,1,34,1,0
806,1,1,38,1,0
807,1,0,39,1,0
808,1,1,37,1,0
809,1,0,32,1,0
810,1,0,29,0,0
811,1,0,20,0,0
812,1,1,35,1,1
813,1,1,38,0,1
814,1,1,39,1,0
815,1,1,38,1,0
816,1,0,44,0,0
817,1,0,26,1,1
818,1,1,38,0,1
819,1,1,39,1,1
820,0,0,12,1,0
821,1,1,36,1,0
822,1,0,40,1,0
823,1,1,37,0,1
824,1,1,37,1,0
825,1,1,36,1,0
826,0,0,30,0,0
827,0,0,19,1,0
828,1,0,32,1,1
829,1,0,43,1,1
830,1,1,35,1,0
831,1,1,37,0,0
832,0,1,30,1,0
833,1,0,31,0,0
834,1,1,37,1,0
835,0,0,26,0,0
836,1,0,27,0,0
837,0,0,25,0,0
838,1,1,35,1,0
839,1,0,41,1,1
840,0,0,29,1,0
841,1,1,37,1,0
842,1,0,27,1,1
843,0,0,29,0,0
844,1,1,35,1,0
845,1,1,39,1,0
846,1,1,38,1,0
847,0,0,22,1,1
848,0,0,31,1,0
849,0,0,30,0,0
850,0,1,24,0,1
851,1,0,33,0,0
852,1,0,40,1,0
853,1,0,39,0,1
854,1,1,39,1,0
855,0,0,26,0,0
856,1,0,25,0,1
857,0,1,31,1,0
858,0,0,27,0,0
859,1,0,20,0,1
860,1,0,33,1,0
861,1,1,35,1,1
862,1,1,39,1,1
863,1,0,32,1,0
864,1,1,37,1,0
865,1,1,38,1,0
866,1,1,38,1,0
867,1,0,32,1,1
868,1,0,40,1,0
869,1,1,32,0,1
870,1,1,34,1,0
871,0,0,27,0,1
872,0,0,28,1,1
873,1,1,37,1,0
874,1,1,37,1,0
875,1,1,37,1,0
876,1,0,30,0,0
877,1,0,33,1,0
878,1,0,41,1,0
879,1,0,33,1,0
880,1,1,38,1,0
881,0,0,21,1,0
882,0,0,25,0,1
883,0,0,18,1,0
884,0,0,31,0,0
885,1,0,30,1,0
886,1,0,41,1,0
887,1,1,37,1,0
888,1,0,32,0,0
889,1,1,39,1,0
890,1,0,31,1,0
891,0,0,18,0,0
892,1,0,42,0,1
893,0,0,15,0,0
894,0,1,29,1,0
895,1,0,34,1,0
896,1,1,35,1,0
897,0,0,31,0,0
898,1,1,31,1,0
899,1,0,35,0,0
900,1,1,37,1,0
901,0,0,27,1,1
902,1,1,37,1,0
903,1,1,34,1,0
904,1,1,37,1,0
905,1,0,31,1,0
906,1,1,37,1,0
907,0,0,31,1,0
908,1,1,38,1,0
909,1,0,42,0,0
910,1,0,27,1,0
911,1,1,37,0,0
912,1,1,35,1,1
913,1,1,39,1,0
914,1,0,23,0,1
915,1,1,39,1,1
916,1,1,37,0,0
917,1,0,25,0,0
918,1,1,37,1,0
919,1,0,29,0,0
920,1,1,33,1,0
921,1,0,26,0,0
922,1,1,38,1,0
923,1,0,44,1,1
924,1,0,42,0,0
925,1,0,26,0,0
926,1,1,34,1,0
927,1,1,38,1,0
928,1,1,37,1,0
929,1,0,24,0,0
930,1,0,33,1,0
931,1,1,35,0,0
932,1,0,26,0,0
933,1,1,35,1,0
934,0,0,26,1,0
935,1,1,35,0,0
936,0,0,29,1,1
937,1,1,39,1,0
938,1,1,24,0,1
939,1,0,39,0,0
940,1,1,38,1,1
941,1,1,38,1,0
942,1,1,34,1,1
943,0,0,22,1,0
944,1,0,40,0,0
945,0,0,25,0,0
946,1,1,36,1,1
947,0,1,27,0,0
948,1,0,31,1,0
949,1,1,34,0,1
950,1,0,40,1,1
951,1,1,32,1,0
952,1,0,25,0,1
953,1,1,35,1,0
954,1,1,35,0,1
955,1,1,37,1,0
956,1,1,37,1,1
957,1,1,36,1,0
958,1,0,43,0,0
959,1,0,41,0,1
960,1,1,37,1,1
961,0,0,30,1,0
962,1,1,37,1,0
963,1,1,26,0,1
964,1,0,41,0,0
965,1,1,34,1,0
966,1,1,32,0,0
967,1,1,38,1,0
968,1,0,34,1,0
969,1,1,36,1,0
970,0,0,26,1,1
971,1,0,32,0,0
972,1,1,38,1,0
973,1,1,38,1,0
974,1,1,39,0,0
975,1,0,33,1,0
976,1,1,33,0,1
977,1,0,41,0,0
978,1,1,36,1,0
979,1,1,34,1,1
980,0,0,30,1,0
981,1,1,33,0,0
982,1,1,37,1,0
983,1,1,37,1,0
984,1,1,36,1,1
985,1,1,39,1,0
986,1,1,37,1,1
987,1,0,40,1,0
988,0,1,30,0,1
989,1,1,38,1,1
990,1,1,38,1,0
991,0,0,23,0,1
992,1,0,32,1,0
993,0,1,27,0,0
994,0,0,22,0,0
995,0,0,26,0,0
996,1,1,38,1,0
997,1,0,30,1,1
998,0,0,28,0,1
999,1,1,38,1,0
1000,1,0,29,0,0
1001,1,1,38,1,0
1002,1,1,35,1,0
1003,1,0,26,1,0
1004,1,1,35,1,0
1005,1,1,38,1,0
1006,0,0,26,0,0
1007,1,1,38,1,1
1008,1,0,41,1,0
1009,0,0,18,1,0
1010,1,0,30,0,0
1011,1,0,30,1,1
1012,0,1,27,0,0
1013,0,0,28,1,1
1014,1,1,36,1,0
1015,1,0,30,0,0
1016,0,0,27,1,1
1017,1,0,41,1,0
1018,1,1,37,0,0
1019,1,0,23,1,0
1020,1,1,34,1,0
1021,1,1,34,1,0
1022,0,0,20,1,1
1023,1,1,36,0,0
1024,1,1,39,0,0
1025,1,1,39,1,0
1026,1,1,37,1,0
1027,1,1,36,1,0
1028,1,0,28,1,0
1029,1,0,32,1,2
1030,0,0,29,0,0
1031,1,1,36,1,0
1032,1,1,35,0,1
1033,0,0,25,0,0
1034,1,0,39,0,0
1035,1,1,32,0,0
1036,1,0,29,0,0
1037,1,0,30,1,0
1038,1,0,34,0,0
1039,1,1,36,1,0
1040,0,1,28,1,1
1041,1,1,36,1,0
1042,1,1,37,1,0
1043,1,0,31,0,1
1044,1,0,25,1,0
1045,1,1,37,1,0
1046,1,1,32,0,1
1047,1,1,37,1,0
1048,0,0,29,0,0
1049,1,0,42,1,0
1050,1,1,37,0,0
1051,0,0,30,1,0
1052,1,1,38,0,1
1053,0,1,27,0,0
1054,1,1,35,0,0
1055,1,1,38,1,0
1056,1,0,32,0,1
1057,1,1,37,1,0
1058,1,1,30,0,1
1059,1,1,38,1,0
1060,1,1,37,0,0
1061,1,1,37,1,0
1062,1,1,39,1,0
1063,1,1,36,1,0
1064,1,1,37,0,0
1065,0,0,29,1,0
1066,1,0,34,1,0
1067,1,1,39,1,0
1068,1,1,39,0,0
1069,1,1,35,1,0
1070,1,1,36,0,1
1071,1,0,40,0,0
1072,0,0,27,1,1
1073,1,1,35,0,0
1074,1,1,37,0,1
1075,0,1,24,1,0
1076,1,0,32,0,0
1077,1,1,36,1,0
1078,1,0,32,0,1
1079,1,1,37,1,0
1080,0,0,28,0,0
1081,1,1,37,1,1
1082,1,1,38,0,1
1083,1,1,37,1,0
1084,1,1,39,1,0
1085,1,0,34,1,0
1086,1,1,30,1,1
1087,1,1,38,1,0
1088,1,1,36,1,0
1089,1,0,28,1,0
1090,1,1,32,0,0
1091,1,0,31,0,1
1092,1,1,34,1,0
1093,1,0,22,1,0
1094,1,1,38,1,0
1095,0,0,29,1,1
1096,1,0,20,0,0
1097,1,1,38,1,0
1098,1,1,39,1,1
1099,1,1,36,1,0
1100,1,0,34,0,0
1101,1,0,27,0,1
1102,1,0,41,1,0
1103,1,1,37,1,0
1104,1,0,26,0,0
1105,1,1,36,1,0
1106,1,1,37,0,0
1107,1,1,37,1,0
1108,1,1,32,0,1
1109,1,0,33,0,0
1110,0,0,30,1,0
1111,1,1,37,1,0
1112,1,1,34,1,0
1113,0,1,28,1,1
1114,1,1,33,1,0
1115,1,1,35,0,0
1116,1,1,39,1,0
1117,1,0,23,0,0
1118,1,1,38,0,0
1119,0,0,28,0,1
1120,0,0,30,0,1
1121,0,0,28,0,0
1122,1,1,34,0,0
1123,1,1,36,0,0
1124,0,0,28,0,0
1125,0,0,14,1,1
1126,1,1,33,0,0
1127,1,0,35,1,1
1128,1,1,37,1,0
1129,1,0,40,0,0
1130,1,1,39,1,0
1131,1,1,37,1,0
1132,1,1,38,1,0
1133,1,0,26,0,0
1134,1,1,34,0,0
1135,1,1,35,1,0
1136,1,0,41,1,1
1137,1,0,40,0,0
1138,1,1,37,1,0
1139,1,1,37,1,0
1140,1,1,38,1,1
1141,0,1,27,0,1
1142,1,1,38,1,0
1143,0,0,28,0,1
1144,0,0,30,1,0
1145,1,1,38,1,0
1146,1,1,38,1,0
1147,0,0,25,0,0
1148,1,1,35,1,0
1149,1,0,26,0,0
1150,1,1,39,0,0
