Id,Name,Bank,BankState
402,0,3,52
403,0,3,27
404,0,3,45
405,0,3,27
406,0,3,51
407,0,2,24
408,0,3,27
409,0,3,51
410,0,3,51
411,0,1,9
412,0,3,51
413,0,3,34
414,0,3,16
415,0,3,45
416,0,3,34
417,0,3,27
418,0,2,24
419,0,3,24
420,0,1,6
421,0,3,34
422,0,1,14
423,0,3,51
424,0,3,24
425,0,3,52
426,0,3,51
427,0,0,39
428,0,1,50
429,0,3,24
430,0,3,34
431,0,3,14
432,0,3,51
433,0,3,33
434,0,0,11
435,0,2,45
436,0,0,19
437,0,0,25
438,0,3,51
439,0,3,27
440,0,0,24
441,0,3,51
442,0,3,51
443,0,1,1
444,0,1,26
445,0,1,24
446,0,3,24
447,0,3,45
448,0,3,51
449,0,1,24
450,0,0,11
451,0,3,24
452,0,1,27
453,0,3,14
454,0,3,45
455,0,0,26
456,0,3,13
457,0,2,50
458,0,3,16
459,0,3,51
460,0,3,51
461,0,2,38
462,0,2,34
463,0,3,51
464,0,3,52
465,0,3,34
466,0,3,52
467,0,3,51
468,0,1,24
469,0,1,25
470,0,1,24
471,0,2,27
472,0,3,45
473,0,3,51
474,0,0,38
475,0,0,38
476,0,3,16
477,0,3,52
478,0,3,16
479,0,3,13
480,0,3,34
481,0,2,13
482,0,3,45
483,0,3,16
484,0,3,52
485,0,3,51
486,0,3,43
487,0,3,14
488,0,3,34
489,0,3,24
490,0,1,6
491,0,1,32
492,0,3,14
493,0,1,41
494,0,0,14
495,0,2,50
496,0,2,45
497,0,3,13
498,0,3,16
499,0,3,52
500,0,3,34
501,0,1,7
502,0,3,16
503,0,3,51
504,0,2,31
505,0,3,24
506,0,3,24
507,0,3,52
508,0,0,41
509,0,3,51
510,0,3,34
511,0,2,50
512,0,3,35
513,0,3,9
514,0,3,51
515,0,3,45
516,0,1,22
517,0,1,27
518,0,3,13
519,0,0,33
520,0,3,34
521,0,1,28
522,0,3,51
523,0,3,24
524,0,0,32
525,0,0,34
526,0,3,38
527,0,0,24
528,0,3,27
529,0,0,9
530,0,3,51
531,0,2,14
532,0,1,27
533,0,1,45
534,0,3,51
535,0,3,52
536,0,0,14
537,0,0,41
538,0,3,52
539,0,1,52
540,0,1,7
541,0,1,41
542,0,3,16
543,0,0,27
544,0,3,45
545,0,0,24
546,0,1,16
547,0,3,52
548,0,3,16
549,0,1,20
550,0,1,24
551,0,3,24
552,0,2,38
553,0,3,34
554,0,3,24
555,0,2,47
556,0,0,27
557,0,3,16
558,0,0,38
559,0,0,9
560,0,1,7
561,0,3,50
562,0,2,52
563,0,3,51
564,0,3,24
565,0,2,52
566,0,1,38
567,0,1,30
568,0,1,41
569,0,0,5
570,0,1,31
571,0,1,51
572,0,1,24
573,0,3,27
574,0,3,51
575,0,3,27
576,0,2,38
577,0,3,24
578,0,0,44
579,0,0,38
580,0,3,13
581,0,2,52
582,0,3,51
583,0,3,48
584,0,3,52
585,0,0,47
586,0,3,28
587,0,3,34
588,0,0,12
589,0,1,26
590,0,3,51
591,0,1,24
592,0,1,9
593,0,3,51
594,0,2,31
595,0,0,21
596,0,3,21
597,0,3,27
598,0,3,24
599,0,0,41
600,0,3,45
601,0,3,48
602,0,1,7
603,0,2,52
604,0,2,35
605,0,1,21
606,0,3,51
607,0,3,16
608,0,3,24
609,0,3,16
610,0,3,38
611,0,3,34
612,0,3,34
613,0,1,21
614,0,3,24
615,0,2,50
616,0,3,45
617,0,3,24
618,0,1,22
619,0,2,24
620,0,3,24
621,0,0,45
622,0,0,45
623,0,3,52
624,0,0,28
625,0,1,31
626,0,0,16
627,0,3,24
628,0,3,14
629,0,3,27
630,0,0,27
631,0,3,52
632,0,2,25
633,0,0,11
634,0,3,51
635,0,1,18
636,0,3,13
637,0,0,11
638,0,3,14
639,0,3,45
640,0,3,14
641,0,1,10
642,0,3,51
643,0,0,11
644,0,3,51
645,0,3,52
646,0,0,3
647,1,0,24
648,0,1,20
649,0,3,27
650,0,2,52
651,0,2,45
652,0,3,51
653,0,0,7
654,0,0,38
655,0,3,27
656,0,2,1
657,0,0,12
658,0,3,34
659,0,3,45
660,0,1,22
661,0,0,5
662,0,3,27
663,0,2,50
664,0,3,45
665,0,3,51
666,0,0,30
667,0,0,38
668,0,3,34
669,0,1,52
670,0,3,51
671,0,1,13
672,0,0,41
673,0,0,45
674,0,3,16
675,0,3,51
676,0,3,16
677,0,3,51
678,0,3,45
679,0,3,24
680,0,3,14
681,0,3,45
682,0,2,38
683,0,2,34
684,0,2,24
685,0,3,45
686,0,0,2
687,0,3,24
688,0,2,13
689,0,3,14
690,0,2,52
691,0,3,24
692,0,1,32
693,0,1,10
694,0,0,28
695,0,3,14
696,0,2,47
697,0,1,16
698,0,2,24
699,0,3,34
700,0,0,47
701,0,2,1
702,0,3,45
703,0,3,51
704,0,3,45
705,0,3,24
706,0,3,45
707,0,3,51
708,0,2,31
709,0,3,27
710,0,0,18
711,0,3,45
712,0,3,16
713,0,3,45
714,0,3,45
715,0,3,48
716,0,3,45
717,0,1,24
718,0,1,10
719,0,3,51
720,0,2,38
721,0,3,51
722,0,3,14
723,0,3,34
724,0,3,51
725,0,3,34
726,0,0,20
727,0,0,50
728,0,2,38
729,0,1,47
730,1,3,45
731,0,3,51
732,0,0,24
733,0,3,34
734,0,0,26
735,0,1,13
736,0,3,45
737,0,3,16
738,0,3,34
739,0,3,24
740,0,3,14
741,0,0,9
742,0,3,52
743,0,0,20
744,0,3,16
745,0,0,38
746,0,3,45
747,0,1,38
748,0,1,24
749,0,3,52
750,0,1,11
751,0,3,51
752,0,1,24
753,0,2,24
754,0,3,51
755,0,3,16
756,0,3,52
757,0,3,38
758,0,0,3
759,0,3,18
760,0,1,9
761,0,3,13
762,0,1,24
763,0,2,1
764,0,0,9
765,0,2,35
766,0,3,14
767,0,3,16
768,0,1,24
769,0,1,10
770,0,3,27
771,0,3,8
772,1,1,1
773,0,3,16
774,0,3,14
775,0,3,16
776,0,1,31
777,0,1,11
778,0,2,38
779,0,3,51
780,0,1,38
781,0,1,9
782,0,0,11
783,0,3,45
784,0,3,45
785,0,3,14
786,0,3,52
787,0,3,34
788,0,3,51
789,0,3,16
790,0,3,34
791,0,0,7
792,0,3,34
793,0,0,19
794,0,3,34
795,0,3,51
796,0,2,24
797,0,1,24
798,0,0,16
799,0,0,51
800,0,0,20
801,0,3,45
802,0,3,51
803,0,1,23
804,0,3,51
805,0,3,51
806,0,3,51
807,0,1,19
808,0,3,24
809,0,1,38
810,0,1,33
811,0,3,34
812,0,1,24
813,0,1,5
814,0,3,51
815,0,3,14
816,0,2,51
817,0,3,51
818,0,0,23
819,0,3,24
820,0,0,30
821,0,3,16
822,0,3,24
823,0,0,38
824,0,1,24
825,0,3,13
826,0,0,41
827,0,3,7
828,0,1,21
829,0,3,52
830,0,2,45
831,0,2,50
832,0,1,21
833,0,1,24
834,0,3,45
835,0,0,11
836,0,3,34
837,0,1,46
838,0,3,51
839,0,0,20
840,0,0,48
841,0,3,45
842,0,3,34
843,0,3,3
844,0,0,9
845,0,3,14
846,0,3,45
848,0,3,51
849,0,3,51
850,0,2,38
851,0,0,34
852,1,0,3
853,0,1,27
854,0,3,52
855,0,3,34
856,0,3,51
857,0,0,38
858,0,3,34
859,0,3,34
860,0,3,51
861,0,1,26
862,0,3,45
863,0,2,31
864,0,3,16
865,0,3,45
866,0,3,51
867,0,2,38
868,0,2,45
869,0,3,51
870,0,3,2
871,0,3,45
872,0,2,38
873,0,2,14
874,0,3,16
875,0,0,7
876,0,1,27
877,0,1,22
878,0,3,24
879,0,3,51
880,0,3,34
881,0,3,34
882,0,0,38
883,0,1,27
884,0,1,17
885,0,0,32
886,0,3,45
887,0,3,16
888,0,1,24
889,0,0,24
890,0,2,38
891,0,3,36
892,0,0,7
893,0,3,16
894,0,0,1
895,0,1,5
896,0,3,52
897,0,2,38
898,0,2,31
899,0,0,38
900,0,3,13
901,0,1,11
902,0,1,5
903,0,3,34
904,0,3,52
905,0,3,45
906,0,3,24
907,0,3,21
908,0,3,24
909,0,0,24
910,0,1,9
911,0,1,51
912,0,3,51
913,0,3,24
914,0,0,13
915,0,0,45
916,0,0,21
917,0,3,50
918,0,3,51
919,0,3,51
920,0,3,45
921,0,1,33
922,0,3,45
923,0,3,45
924,0,1,20
925,0,1,49
926,0,2,13
927,0,3,52
928,0,3,45
929,0,1,11
930,0,0,49
931,0,3,51
932,0,2,21
933,0,1,51
934,0,3,24
935,0,3,16
936,0,1,6
937,0,0,21
938,0,0,38
939,0,2,52
940,0,3,52
941,0,3,24
942,0,2,35
943,0,0,20
944,0,3,27
945,0,0,47
946,0,3,52
947,0,0,44
948,0,1,24
949,0,1,21
950,0,3,24
951,0,2,38
952,0,3,16
953,0,3,51
954,0,2,24
955,0,2,14
956,0,1,9
957,0,1,33
958,0,3,16
959,0,3,52
960,0,3,13
961,0,3,38
962,0,2,50
963,0,0,20
964,0,1,42
965,0,1,50
966,0,0,36
967,0,3,16
968,0,3,51
969,0,3,51
970,0,2,38
971,0,1,15
972,0,3,45
973,0,2,13
974,0,2,52
975,0,3,16
976,0,3,18
977,0,3,24
978,0,3,24
979,0,0,9
980,0,1,21
981,0,3,20
982,0,3,51
983,0,3,51
984,0,3,16
985,0,0,31
986,0,3,13
987,0,2,51
988,0,1,39
989,0,3,51
990,0,3,51
991,0,0,11
992,0,1,36
993,0,2,28
994,0,3,34
995,0,1,27
996,0,3,51
997,0,1,25
998,0,0,38
999,0,3,45
1000,0,1,24
1001,0,0,19
1002,0,3,16
1003,0,1,38
1004,0,0,14
1005,0,3,24
1006,0,1,39
1007,0,1,2
1008,0,3,45
1009,0,3,34
1010,0,1,21
1011,0,0,52
1012,0,0,5
1013,0,0,19
1014,0,3,16
1015,0,1,33
1016,0,1,8
1017,0,2,50
1018,0,3,34
1019,0,1,34
1020,0,1,7
1021,0,3,24
1022,0,2,8
1023,0,3,24
1024,0,2,52
1025,0,1,18
1026,0,3,13
1027,0,3,13
1028,0,1,24
1029,0,2,38
1030,0,3,18
1031,0,3,16
1032,0,1,45
1033,0,1,22
1034,0,2,51
1035,0,3,20
1036,0,0,39
1037,0,1,38
1038,0,0,38
1039,0,3,51
1040,0,2,38
1041,0,3,51
1042,0,0,7
1043,0,2,35
1044,0,3,51
1045,0,3,14
1046,0,1,18
1047,0,3,51
1048,0,2,50
1049,0,3,51
1050,0,3,51
1051,1,2,38
1052,0,0,27
1053,0,3,45
1054,0,3,51
1055,0,3,51
1056,0,1,21
1057,0,3,34
1058,0,0,24
1059,0,3,51
1060,0,3,51
1061,0,3,14
1062,0,3,24
1063,0,3,51
1064,0,3,45
1065,0,3,45
1066,0,1,47
1067,0,3,24
1068,0,0,9
1069,0,0,10
1070,0,1,51
1071,0,3,13
1072,0,0,43
1073,0,3,24
1074,0,1,16
1075,0,3,25
1076,1,3,34
1077,0,0,39
1078,0,0,38
1079,0,3,34
1080,0,0,17
1081,0,3,13
1082,0,0,9
1083,0,3,45
1084,0,0,51
1085,0,3,51
1086,0,1,5
1087,0,1,24
1088,0,3,51
1089,0,2,52
1090,0,1,24
1091,0,1,20
1092,0,3,38
1093,0,1,24
1094,0,3,13
1095,0,1,27
1096,0,2,27
1097,0,3,51
1098,0,0,24
1099,0,2,27
1100,0,3,27
1101,0,3,34
1102,0,3,24
1103,0,0,31
1104,0,0,33
1105,0,3,51
1106,0,3,45
1107,0,3,16
1108,0,0,27
1109,0,0,9
1110,0,0,10
1111,0,3,51
1112,1,1,26
1113,0,2,27
1114,0,3,38
1115,0,3,14
1116,0,3,24
1117,0,2,52
1118,0,3,14
1119,0,2,1
1120,0,2,38
1121,0,1,24
1122,0,0,38
1123,0,3,16
1124,0,1,7
1125,0,0,38
1126,0,2,1
1127,1,0,28
1128,0,3,27
1129,0,3,24
1130,0,3,45
1131,0,3,13
1132,0,2,47
1133,0,0,22
1134,0,3,51
1135,0,3,16
1136,0,2,45
1137,0,0,47
1138,0,2,51
1139,0,2,13
1140,0,1,38
1141,0,0,20
1142,0,3,45
1143,1,1,6
1144,0,3,34
1145,0,3,45
1146,0,3,45
1147,0,2,24
1148,0,3,14
1149,0,3,52
1150,0,0,38
1151,0,3,52
1152,0,2,52
1153,0,2,38
1154,1,1,9
1155,0,3,48
1156,0,3,52
1157,0,0,14
1158,0,3,24
1159,0,1,24
1160,0,3,45
1161,0,0,44
1162,0,2,52
1163,0,0,7
1164,0,3,16
1165,0,1,38
1166,0,0,41
1167,0,3,16
1168,0,2,50
1169,0,3,13
1170,0,2,13
1171,0,3,24
1172,0,3,51
1173,0,1,52
1174,0,2,38
1175,0,1,24
1176,0,0,32
1177,0,3,34
1178,0,1,19
1179,0,3,51
1180,0,3,14
1181,0,1,47
1182,0,3,51
1183,0,3,52
1184,0,1,38
1185,0,3,1
1186,0,3,13
1187,0,2,51
1188,0,3,34
1189,0,0,44
1190,0,3,51
1191,0,1,24
1192,0,3,51
1193,0,3,52
1194,0,2,22
1195,0,2,50
1196,0,0,36
1197,0,3,45
1198,0,0,3
1199,0,1,41
1200,0,3,51
1201,0,2,50
1202,0,3,51
1203,0,3,9
1204,0,1,7
1205,0,1,24
1206,0,3,14
1207,0,2,13
1208,0,1,19
1209,0,0,3
1210,0,1,9
1211,0,0,38
1212,0,0,33
1213,0,3,51
1214,0,3,45
1215,0,1,6
1216,0,3,51
1217,0,3,45
1218,0,0,52
1219,0,3,52
1220,0,2,38
1221,0,3,51
1222,0,0,30
1223,0,3,14
1224,0,2,34
1225,0,3,16
1226,0,2,27
1227,0,0,9
1228,0,3,51
1229,0,3,45
1230,0,1,7
1231,0,3,51
1232,0,3,14
1233,0,0,51
1234,0,3,14
1235,0,3,13
1236,0,0,9
1237,0,3,52
1238,0,0,24
1239,0,3,51
1240,0,1,25
1241,0,0,7
1242,0,3,45
1243,1,3,24
1244,0,3,50
1245,0,3,51
1246,0,3,45
1247,0,3,14
1248,0,3,24
1249,0,1,34
1250,0,1,14
1251,0,3,45
1252,0,3,16
1253,0,1,24
1254,0,3,14
1255,0,3,51
1256,0,3,51
1257,0,3,34
1258,0,3,51
1259,0,2,24
1260,0,3,52
1261,0,2,50
1262,0,2,34
1263,0,0,42
1264,0,1,19
1265,0,3,48
1266,0,3,34
1267,0,2,1
1268,0,3,24
1269,0,0,44
1270,0,3,16
1271,0,3,51
1272,0,0,41
1273,0,0,26
1274,0,2,46
1275,0,3,36
1276,0,0,45
1277,0,0,5
1278,0,2,1
1279,0,0,11
1280,0,3,38
1281,0,0,20
1282,0,0,22
1283,0,1,24
1284,0,3,24
1285,0,0,31
1286,0,0,41
1287,0,3,52
1288,0,0,9
1289,0,3,14
1290,0,0,7
1291,1,3,24
1292,0,2,45
1293,0,1,7
1294,0,0,51
1295,0,3,24
1296,0,0,31
1297,0,3,14
1298,0,3,34
1299,0,3,14
1300,0,3,45
1301,0,3,14
1302,0,3,52
1303,0,1,24
1304,0,3,51
1305,0,3,14
1306,0,3,16
1307,0,1,24
1308,0,3,24
1309,0,3,16
1310,0,0,30
1311,0,1,38
1312,0,3,24
1313,0,2,1
1314,0,3,27
1315,0,2,35
1316,0,3,16
1317,0,1,18
1318,0,0,20
1319,0,3,52
1320,0,3,16
1321,0,3,23
1322,0,3,52
1323,0,3,22
1324,0,3,16
1325,0,0,24
1326,0,3,45
1327,0,3,51
1328,0,3,24
1329,0,1,49
1330,0,2,27
1331,0,3,16
1332,0,3,14
1333,0,3,45
1334,0,3,14
1335,0,3,52
1336,0,3,45
1337,0,1,24
1338,0,3,24
1339,0,3,45
1340,0,3,14
1341,0,3,16
1342,0,3,24
1343,0,0,30
1344,0,3,52
1345,0,0,38
1346,0,3,52
1347,0,3,24
1348,0,0,9
1349,0,0,11
1350,0,3,34
1351,0,0,51
1352,0,3,51
1353,0,1,36
1354,0,3,51
1355,0,3,18
1356,0,0,45
1357,0,3,16
1358,0,3,45
1359,0,3,52
1360,0,3,24
1361,0,3,14
1362,0,1,21
1363,0,0,9
1364,0,2,50
1365,0,1,24
1366,0,1,11
1367,0,0,24
1368,0,0,31
1369,0,3,40
1370,0,3,51
1371,0,0,26
1372,0,3,45
1373,0,1,24
1374,0,3,24
1375,0,3,52
1376,0,1,7
1377,0,3,51
1378,0,3,14
1379,0,0,32
1380,0,2,1
1381,0,0,28
1382,0,1,39
1383,0,3,51
1384,0,0,10
1385,0,1,11
1386,0,3,52
1387,0,1,11
1388,0,1,24
1389,0,3,45
1390,0,2,14
1391,0,3,52
1392,0,2,31
1393,0,3,45
1394,0,1,10
1395,0,2,24
1396,0,1,24
1397,0,0,42
1398,0,3,52
1399,0,1,11
1400,0,0,51
1401,0,3,52
1402,0,0,45
1403,0,1,38
1404,0,2,40
1405,0,3,52
1406,0,3,45
1407,0,0,9
1408,0,2,24
1409,0,1,27
1410,0,3,16
1411,0,3,16
1412,0,3,51
1413,0,2,13
1414,0,3,52
1415,0,3,24
1416,0,1,43
1417,0,3,24
1418,0,0,24
1419,0,1,19
1420,0,1,22
1421,0,1,33
1422,0,1,21
1423,0,1,27
1424,0,3,24
1425,0,3,14
1426,0,3,16
1427,0,2,24
1428,0,3,51
1429,0,3,52
1430,0,0,30
1431,0,2,45
1432,0,0,32
1433,0,3,45
1434,0,1,22
1435,0,1,10
1436,0,1,38
1437,0,3,20
1438,0,0,36
1439,0,3,51
1440,0,3,52
1441,0,3,13
1442,0,1,50
1443,0,0,26
1444,0,3,13
1445,0,3,34
1446,0,3,45
1447,0,2,52
1448,0,2,35
1449,0,2,13
1450,0,3,24
1451,0,3,13
1452,0,0,9
1453,0,3,13
1454,0,3,13
1455,0,3,51
1456,0,3,24
1457,0,3,52
1458,0,3,27
1459,0,3,51
1460,0,2,52
1461,0,3,45
1462,0,3,52
1463,0,3,52
1464,0,1,13
1465,0,3,16
1466,0,3,9
1467,1,1,51
1468,0,3,52
1469,0,0,9
1470,0,3,14
1471,0,1,22
1472,0,3,34
1473,0,3,13
1474,0,3,24
1475,0,1,24
1476,0,3,34
1477,0,1,24
1478,0,3,1
1479,0,3,45
1480,0,0,51
1481,0,0,39
1482,0,1,24
1483,0,0,19
1484,0,3,27
1485,0,1,27
1486,0,0,41
1487,0,3,14
1488,0,1,22
1489,0,0,38
1490,0,3,34
1491,0,2,47
1492,0,1,9
1493,0,0,45
1494,0,3,34
1495,0,3,14
1496,0,3,14
1497,0,3,52
1498,0,3,45
1499,0,0,7
1500,1,3,45
1501,0,3,45
1502,0,0,26
1503,0,3,13
1504,0,1,46
1505,0,0,7
1506,0,1,48
1507,0,3,16
1508,0,1,24
1509,0,1,30
1510,0,1,7
1511,0,0,38
1512,0,2,52
1513,0,2,45
1514,0,3,13
1515,0,2,34
1516,0,3,51
1517,0,1,35
1518,0,1,22
1519,0,3,24
1520,0,1,39
1521,0,3,51
1522,0,1,8
1523,0,2,51
1524,0,1,29
1525,0,3,24
1526,0,3,45
1527,0,0,11
1528,0,3,24
1529,0,1,24
1530,0,3,24
1531,0,3,16
1532,0,0,11
1533,0,0,2
1534,0,3,24
1535,0,2,52
1536,0,0,24
1537,0,1,38
1538,0,3,51
1539,0,0,5
1540,0,3,51
1541,0,3,34
1542,0,1,27
1543,1,0,47
1544,0,3,34
1545,0,1,16
1546,0,3,51
1547,0,0,7
1548,0,2,38
1549,0,3,45
1550,0,1,31
1551,0,3,27
1552,0,3,14
1553,0,3,51
1554,0,1,36
1555,0,3,45
1556,0,3,51
1557,0,3,51
1558,0,3,52
1559,0,0,47
1560,0,3,14
1561,0,2,51
1562,0,0,45
1563,0,1,42
1564,0,2,8
1565,0,3,13
1566,0,3,24
1567,0,2,31
1568,0,2,31
1569,0,1,19
1570,0,1,13
1571,0,2,27
1572,0,0,23
1573,0,3,27
1574,0,0,9
1575,0,3,24
1576,0,0,19
1577,0,3,16
1578,0,3,38
1579,0,2,31
1580,0,0,44
1581,0,3,51
1582,0,3,44
1583,0,3,24
1584,0,2,51
1585,0,3,16
1586,0,0,14
1587,0,2,47
1588,0,3,51
1589,0,1,23
1590,0,2,52
1591,0,0,19
1592,0,3,51
1593,0,1,24
1594,0,3,51
1595,0,1,24
1596,0,3,51
1597,0,3,34
1598,0,1,19
1599,0,1,21
1600,0,3,34
1601,0,2,50
1602,0,1,24
1603,0,3,24
1604,0,0,26
1605,0,0,45
1606,0,3,45
1607,0,1,9
1608,0,3,52
1609,0,3,51
1610,0,3,24
1611,0,3,16
1612,0,2,52
1613,0,3,34
1614,0,3,16
1615,0,3,27
1616,0,3,27
1617,0,3,14
1618,0,0,47
1619,0,3,14
1620,0,2,1
1621,0,3,34
1622,0,2,38
1623,0,2,46
1624,0,2,1
1625,0,3,34
1626,0,3,24
1627,0,1,8
1628,0,0,9
1629,0,3,14
1630,0,0,24
1631,0,1,38
1632,0,1,19
1633,0,3,45
1634,0,1,47
1635,0,1,24
1636,0,3,24
1637,0,3,14
1638,0,0,7
1639,0,3,14
1640,0,1,14
1641,0,1,33
1642,0,0,3
1643,0,3,52
1644,0,3,45
1645,0,3,34
1646,0,3,45
1647,0,3,52
1648,0,3,24
1649,0,0,8
1650,0,0,3
1651,0,0,45
1652,0,3,51
1653,0,3,24
1654,0,1,49
1655,0,2,47
1656,0,3,24
1657,0,1,8
1658,0,2,52
1659,0,3,14
1660,0,2,38
1661,0,3,16
1662,0,3,45
1663,0,1,24
1664,0,3,16
